job_title,company,location,experience_level,skills,num_skills,salary_lpa,remote,salary_tier
Data Scientist,Ola,Bangalore,Senior,"MongoDB, Machine Learning, Statistics",3,33,0,High
Data Scientist,PhonePe,Gurgaon,Entry,"NLP, Spark, dbt, Hadoop, FastAPI, TensorFlow",6,16,0,Mid
Data Scientist,Google,Bangalore,Senior,"GCP, Airflow, Java, Statistics, Kubernetes, PostgreSQL, Git",7,41,0,High
Data Engineer,Swiggy,Noida,Senior,"Hadoop, Computer Vision, FastAPI, PostgreSQL, Azure, MLflow",6,20,0,Mid
Research Scientist,Amazon,Noida,Entry,"Python, Docker, MLflow",3,19,0,Mid
AI Engineer,Flipkart,Chennai,Senior,"GCP, NLP, TensorFlow, PostgreSQL, Computer Vision, Git",6,35,0,High
ML Engineer,Ola,Pune,Entry,"dbt, GCP, TensorFlow, Docker",4,15,0,Mid
Data Engineer,PhonePe,Hyderabad,Lead,"Azure, Java, GCP, PyTorch",4,45,0,High
Data Analyst,BYJU'S,Remote,Senior,"Azure, Java, FastAPI, Deep Learning, SQL, Power BI",6,37,1,High
Data Analyst,BYJU'S,Chennai,Mid,"FastAPI, GCP, Power BI, Hadoop",4,18,0,Mid
AI Engineer,PhonePe,Delhi,Senior,"SQL, Kubernetes, Tableau, PyTorch, Git",5,44,0,High
Business Analyst,BYJU'S,Pune,Entry,"Power BI, Deep Learning, Machine Learning, Hadoop, R",5,3,0,Low
Business Analyst,Flipkart,Delhi,Lead,"FastAPI, Deep Learning, PyTorch, Statistics",4,67,0,High
NLP Engineer,Infosys,Bangalore,Senior,"GCP, SQL, Excel",3,33,0,High
ML Engineer,TCS,Delhi,Senior,"MLflow, Kubernetes, Flask, TensorFlow, Python",5,38,0,High
Research Scientist,Meesho,Chennai,Mid,"FastAPI, TensorFlow, Git, NLP, PyTorch",5,23,0,Mid
Data Analyst,Google,Hyderabad,Senior,"MongoDB, dbt, Scala, SQL, FastAPI",5,32,0,High
Data Engineer,BYJU'S,Bangalore,Lead,"Java, Power BI, Scala, SQL, Spark, PostgreSQL",6,40,0,High
Data Engineer,Google,Noida,Mid,"Hadoop, PostgreSQL, Power BI, Excel, Scala, MongoDB, Git",7,26,0,High
ML Engineer,Meesho,Delhi,Entry,"MLflow, Statistics, Azure",3,18,0,Mid
ML Engineer,BYJU'S,Mumbai,Senior,"FastAPI, Computer Vision, Azure, AWS, Java, Machine Learning",6,33,0,High
AI Engineer,Paytm,Gurgaon,Senior,"Scala, Java, SQL",3,38,0,High
Data Analyst,Google,Pune,Lead,"Deep Learning, SQL, PyTorch, Flask, Machine Learning, Python, Hadoop, Spark",8,45,0,High
AI Engineer,Paytm,Remote,Senior,"Azure, Python, Machine Learning, Computer Vision, TensorFlow, AWS, Spark, PyTorch",8,35,1,High
NLP Engineer,Zomato,Noida,Senior,"Docker, Python, MLflow, dbt, Scala, Machine Learning, GCP, Spark",8,36,0,High
AI Engineer,Wipro,Gurgaon,Entry,"PyTorch, GCP, Tableau, dbt",4,16,0,Mid
Business Analyst,Swiggy,Delhi,Mid,"Tableau, GCP, SQL, Python, Azure",5,15,0,Mid
Research Scientist,Amazon,Chennai,Entry,"Tableau, Excel, Scala, Docker, MongoDB, Java, R, Statistics",8,27,0,High
NLP Engineer,Amazon,Noida,Entry,"Hadoop, Spark, GCP, PyTorch, PostgreSQL, Deep Learning, Machine Learning, Python",8,21,0,Mid
AI Engineer,Razorpay,Hyderabad,Mid,"PostgreSQL, Hadoop, Deep Learning, TensorFlow, NLP, MLflow",6,22,0,Mid
NLP Engineer,Infosys,Pune,Senior,"GCP, Azure, MLflow, Hadoop, Git, Statistics, Deep Learning, PostgreSQL",8,31,0,High
Data Engineer,BYJU'S,Hyderabad,Lead,"AWS, FastAPI, MLflow",3,66,0,High
NLP Engineer,BYJU'S,Chennai,Entry,"Scala, MLflow, Statistics, Excel, PyTorch, Python",6,8,0,Low
Data Scientist,Google,Hyderabad,Mid,"Computer Vision, AWS, Git, Hadoop, dbt, Spark, Excel, R",8,26,0,High
AI Engineer,BYJU'S,Pune,Entry,"Excel, GCP, Machine Learning, Deep Learning, FastAPI, dbt, Kubernetes",7,16,0,Mid
Data Engineer,Swiggy,Gurgaon,Entry,"NLP, dbt, Deep Learning",3,11,0,Mid
AI Engineer,PhonePe,Chennai,Entry,"Computer Vision, MLflow, Statistics",3,14,0,Mid
Data Engineer,Zomato,Noida,Lead,"Java, Tableau, Airflow, Spark",4,53,0,High
NLP Engineer,Wipro,Delhi,Lead,"Python, Flask, Azure, Kubernetes, Machine Learning, Docker, Excel, Scala",8,58,0,High
Data Scientist,Meesho,Hyderabad,Entry,"FastAPI, Deep Learning, PostgreSQL",3,8,0,Low
NLP Engineer,Razorpay,Remote,Mid,"Flask, Git, Computer Vision, Deep Learning",4,32,1,High
ML Engineer,Microsoft,Bangalore,Lead,"Machine Learning, GCP, Python, TensorFlow, Kubernetes, Excel, Statistics",7,68,0,High
AI Engineer,Zomato,Bangalore,Entry,"Computer Vision, SQL, Python, PyTorch, Spark, Flask, R",7,18,0,Mid
Data Analyst,Amazon,Chennai,Mid,"Docker, TensorFlow, GCP, Computer Vision, Power BI, Flask, Hadoop, Python",8,23,0,Mid
Business Analyst,PhonePe,Hyderabad,Mid,"PyTorch, Git, Kubernetes, Excel",4,11,0,Mid
AI Engineer,Google,Bangalore,Senior,"FastAPI, Git, TensorFlow",3,48,0,High
Data Scientist,Google,Noida,Mid,"PyTorch, MongoDB, Machine Learning, Python, PostgreSQL, NLP, Deep Learning, Kubernetes",8,26,0,High
Business Analyst,Meesho,Mumbai,Senior,"Machine Learning, Kubernetes, Python, FastAPI, Spark, Flask, R",7,30,0,High
Data Engineer,Amazon,Hyderabad,Senior,"Airflow, Hadoop, Machine Learning, Tableau, MongoDB, SQL, FastAPI",7,35,0,High
NLP Engineer,Infosys,Bangalore,Senior,"Hadoop, Kubernetes, Git, Azure, PostgreSQL, Airflow",6,28,0,High
Data Engineer,Google,Delhi,Entry,"Azure, PostgreSQL, Git",3,20,0,Mid
AI Engineer,PhonePe,Pune,Mid,"GCP, TensorFlow, Python, PostgreSQL, Deep Learning",5,21,0,Mid
ML Engineer,Zomato,Noida,Entry,"SQL, Docker, Python, FastAPI, Machine Learning, Git, Hadoop, MLflow",8,12,0,Mid
ML Engineer,Paytm,Chennai,Mid,"Airflow, NLP, PostgreSQL, Power BI",4,23,0,Mid
Data Analyst,TCS,Remote,Senior,"GCP, Git, Computer Vision",3,35,1,High
Data Analyst,Ola,Hyderabad,Senior,"AWS, Hadoop, Computer Vision, FastAPI, Python, Excel, dbt, PostgreSQL",8,30,0,High
Research Scientist,TCS,Chennai,Lead,"MongoDB, Git, Kubernetes, AWS, Scala, Computer Vision, R",7,50,0,High
Data Engineer,Ola,Hyderabad,Lead,"Deep Learning, Python, Scala",3,55,0,High
ML Engineer,Microsoft,Delhi,Senior,"Statistics, Flask, Hadoop, Python, SQL, MLflow, dbt",7,46,0,High
Data Engineer,BYJU'S,Bangalore,Mid,"NLP, PostgreSQL, R",3,20,0,Mid
Data Analyst,BYJU'S,Delhi,Entry,"GCP, Flask, Python, Deep Learning, Computer Vision, PyTorch, Kubernetes",7,14,0,Mid
AI Engineer,Wipro,Chennai,Mid,"FastAPI, Airflow, Azure, Spark",4,23,0,Mid
NLP Engineer,Paytm,Pune,Senior,"Spark, TensorFlow, MLflow, Scala, PyTorch, Kubernetes, Deep Learning, Excel",8,31,0,High
Research Scientist,PhonePe,Noida,Mid,"Power BI, R, Flask, Deep Learning, dbt, Azure, Hadoop",7,19,0,Mid
Business Analyst,Flipkart,Bangalore,Mid,"AWS, Java, Deep Learning",3,21,0,Mid
ML Engineer,Meesho,Remote,Senior,"GCP, FastAPI, Excel, Python, PyTorch, SQL, Hadoop, Power BI",8,33,1,High
Data Analyst,Zomato,Gurgaon,Lead,"PostgreSQL, Airflow, Python, MongoDB, Kubernetes, Docker, R, Scala",8,38,0,High
AI Engineer,Flipkart,Mumbai,Entry,"Scala, Power BI, Git, Kubernetes, MongoDB, PostgreSQL, Python",7,11,0,Mid
NLP Engineer,Zomato,Chennai,Senior,"Tableau, Power BI, Git, TensorFlow, Azure, PostgreSQL",6,42,0,High
Data Analyst,TCS,Pune,Entry,"Hadoop, Java, Power BI, GCP, TensorFlow",5,9,0,Low
Data Scientist,Microsoft,Bangalore,Senior,"Airflow, Hadoop, Power BI, Python, AWS",5,51,0,High
AI Engineer,PhonePe,Gurgaon,Entry,"Statistics, Power BI, Spark, FastAPI, Airflow, Java, Deep Learning, Azure",8,13,0,Mid
Research Scientist,Flipkart,Pune,Lead,"dbt, Azure, Power BI",3,58,0,High
AI Engineer,Swiggy,Hyderabad,Entry,"Docker, dbt, Power BI, Scala",4,14,0,Mid
Data Analyst,Flipkart,Bangalore,Mid,"TensorFlow, dbt, MLflow, SQL",4,14,0,Mid
Data Engineer,Paytm,Delhi,Senior,"Spark, Excel, MongoDB",3,33,0,High
Research Scientist,Zomato,Chennai,Entry,"Docker, Scala, PyTorch",3,14,0,Mid
Data Scientist,Meesho,Chennai,Mid,"Kubernetes, Docker, Machine Learning, GCP, Scala, MongoDB, Hadoop, Computer Vision",8,16,0,Mid
Research Scientist,Google,Mumbai,Senior,"Docker, PostgreSQL, Excel, R, Git",5,42,0,High
Data Analyst,Meesho,Mumbai,Mid,"Machine Learning, Statistics, R, NLP, Deep Learning, MongoDB, SQL",7,12,0,Mid
Research Scientist,Razorpay,Mumbai,Lead,"Tableau, PyTorch, Java, Azure, PostgreSQL, Machine Learning, NLP",7,63,0,High
Data Engineer,Wipro,Pune,Mid,"Spark, TensorFlow, AWS, R, PyTorch, Deep Learning",6,13,0,Mid
Data Engineer,PhonePe,Noida,Mid,"Git, TensorFlow, SQL",3,15,0,Mid
Data Engineer,Swiggy,Bangalore,Senior,"Statistics, TensorFlow, R, PyTorch, Excel, Kubernetes, Scala",7,34,0,High
Business Analyst,PhonePe,Chennai,Lead,"Spark, Deep Learning, SQL, PostgreSQL, Power BI, Python",6,53,0,High
NLP Engineer,Paytm,Pune,Mid,"AWS, Tableau, Computer Vision, Statistics, Excel, Flask, TensorFlow",7,19,0,Mid
Data Engineer,BYJU'S,Bangalore,Entry,"Flask, Python, Machine Learning, Statistics, NLP",5,12,0,Mid
Data Analyst,TCS,Chennai,Mid,"Machine Learning, AWS, Scala, Docker, Airflow, Azure",6,17,0,Mid
Data Scientist,BYJU'S,Hyderabad,Mid,"Power BI, Airflow, Spark",3,21,0,Mid
ML Engineer,BYJU'S,Mumbai,Senior,"Scala, GCP, Azure, dbt, MongoDB, NLP, Java",7,26,0,High
Research Scientist,TCS,Pune,Lead,"Python, Kubernetes, PyTorch, MongoDB, Machine Learning, Java, GCP",7,53,0,High
Business Analyst,Flipkart,Bangalore,Entry,"Excel, Machine Learning, PyTorch, SQL",4,8,0,Low
Research Scientist,Razorpay,Mumbai,Senior,"Excel, Flask, Scala, Statistics",4,39,0,High
Data Engineer,Wipro,Gurgaon,Entry,"PyTorch, Kubernetes, Airflow, MLflow, NLP, Computer Vision",6,11,0,Mid
Business Analyst,Wipro,Chennai,Senior,"Java, Statistics, TensorFlow",3,35,0,High
Data Engineer,Infosys,Remote,Mid,"PyTorch, Power BI, Python, NLP, Computer Vision, R",6,20,1,Mid
ML Engineer,Amazon,Mumbai,Entry,"Machine Learning, Tableau, Scala, Statistics",4,20,0,Mid
Data Engineer,Google,Mumbai,Entry,"Flask, AWS, MLflow, Java, Scala, R, Git, Azure",8,16,0,Mid
AI Engineer,PhonePe,Chennai,Entry,"Tableau, Statistics, TensorFlow, Hadoop, Azure, MLflow",6,14,0,Mid
Research Scientist,Amazon,Remote,Senior,"PostgreSQL, Flask, Statistics, Kubernetes, Docker, Java",6,40,1,High
ML Engineer,Google,Hyderabad,Mid,"Tableau, TensorFlow, PostgreSQL, Spark, dbt, Git, R",7,25,0,Mid
ML Engineer,Infosys,Mumbai,Lead,"dbt, Airflow, Java, Machine Learning, AWS, Statistics, R, FastAPI",8,54,0,High
Business Analyst,Flipkart,Bangalore,Mid,"Java, PostgreSQL, Deep Learning, Python, Computer Vision",5,15,0,Mid
Research Scientist,Amazon,Noida,Entry,"NLP, Python, SQL",3,22,0,Mid
Data Scientist,Google,Delhi,Entry,"Deep Learning, MongoDB, dbt",3,17,0,Mid
AI Engineer,Zomato,Pune,Mid,"Azure, MongoDB, TensorFlow, Deep Learning, R, Kubernetes",6,24,0,Mid
Data Engineer,PhonePe,Bangalore,Entry,"Spark, Computer Vision, Kubernetes, Scala, GCP, Deep Learning",6,11,0,Mid
Research Scientist,Swiggy,Remote,Mid,"R, Python, GCP, Computer Vision, Scala, Tableau",6,24,1,Mid
ML Engineer,Infosys,Bangalore,Lead,"dbt, Docker, R, Excel, GCP",5,72,0,High
ML Engineer,Razorpay,Pune,Lead,"Java, Deep Learning, GCP, Flask, Scala, Hadoop, Spark",7,75,0,High
ML Engineer,Zomato,Noida,Senior,"Machine Learning, dbt, SQL, Kubernetes, MLflow, Tableau, Python, MongoDB",8,27,0,High
Data Scientist,Paytm,Gurgaon,Senior,"Flask, Git, Azure, Statistics, AWS, Machine Learning, Docker",7,37,0,High
Data Analyst,Wipro,Mumbai,Senior,"R, Statistics, Git, Deep Learning, FastAPI, SQL, Excel, Power BI",8,22,0,Mid
AI Engineer,Amazon,Gurgaon,Mid,"Computer Vision, PyTorch, Git, GCP, Scala",5,26,0,High
